epoca,loss_train,loss_test
0,0.2422341807201823,0.23699883529765095
100,0.14528924575110336,0.1467255189134997
200,0.12075988784483893,0.12177021457155413
300,0.10137218325520192,0.10202566661057297
400,0.08731440289925671,0.08762704281100533
500,0.07645615399219129,0.07641822368277255
600,0.06734567286957324,0.06703646202279676
700,0.05949943138516029,0.058987331748966386
800,0.052739332493015594,0.052097231887396886
900,0.047008938215834115,0.04629374586460529
1000,0.04221168362515714,0.0414903335832963
